Sid,Name
int,string
id(楼层*1000+x),节点名称
1001,一层1号路牌
1002,一层2号路牌
1003,一层3号路牌
1004,一层4号路牌
2001,二层1号路牌
2002,二层2号路牌
2003,二层3号路牌
2004,二层4号路牌
3001,三层1号路牌
3002,三层2号路牌
3003,三层3号路牌
3004,三层4号路牌
4001,四层1号路牌
4002,四层2号路牌
4003,四层3号路牌
4004,四层4号路牌
5001,五层1号路牌
5002,五层2号路牌
5003,五层3号路牌
5004,五层4号路牌
